id,name,product_priority,delivery_rank,decision,workstream_title,remaining,native,python,ui,priority_reason
"material.(n,k) Material.Refractive Index",Refractive Index,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
"material.(n,k) Material.anisotropy",anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
"material.(n,k) Material.color",color,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
"material.(n,k) Material.mesh order",mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
"material.(n,k) Material.name",name,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
"material.(n,k) Material.type",type,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.Permittivity,Permittivity,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.Refractive Index,Refractive Index,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.anisotropy,anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.color,color,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.mesh order,mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.name,name,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Dielectric.type,type,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.Lorentz Linewidth,Lorentz Linewidth,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.Lorentz Permittivity,Lorentz Permittivity,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.Lorentz Resonance,Lorentz Resonance,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.Permittivity,Permittivity,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.Refractive Index,Refractive Index,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.anisotropy,anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.color,color,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.mesh order,mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.name,name,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Lorentz.type,type,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.Permittivity,Permittivity,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.Plasma collision,Plasma collision,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.Plasma resonance,Plasma resonance,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.Refractive Index,Refractive Index,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.anisotropy,anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.color,color,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.mesh order,mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.name,name,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Plasma.type,type,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.anisotropy,anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.color,color,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.frequency max,frequency max,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.frequency min,frequency min,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.imaginary weight,imaginary weight,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.improve numerical stability,improve numerical stability,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.make fit passive,make fit passive,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.max coefficients,max coefficients,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.mesh order,mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.name,name,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.sampled 3d data,sampled 3d data,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.specify fit range,specify fit range,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.tolerance,tolerance,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.type,type,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.wavelength max,wavelength max,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sampled data.wavelength min,wavelength min,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.A0,A0,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.B1,B1,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.B2,B2,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.B3,B3,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.C1,C1,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.C2,C2,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.C3,C3,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.anisotropy,anisotropy,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.color,color,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.mesh order,mesh order,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.name,name,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.Sellmeier.type,type,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.diagonal,대각 이방성,P1,6,required,수동 분산 재료,True,partial,partial,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.multipole,다중 oscillator,P1,6,required,수동 분산 재료,False,implemented,implemented,implemented,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.nk,중심 주파수 n/k,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.sampled_fit,측정 n/k 데이터·passive multi-pole fit,P1,6,required,수동 분산 재료,False,implemented,implemented,implemented,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.sellmeier,Sellmeier,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
material.tensor,일반 tensor·grid transform,P1,6,required,수동 분산 재료,True,partial,partial,partial,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
addfdtd.allow grading in x,allow grading in x,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.allow grading in y,allow grading in y,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.allow grading in z,allow grading in z,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.conformal meshing refinement,conformal meshing refinement,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.define x mesh by,define x mesh by,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.define y mesh by,define y mesh by,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.define z mesh by,define z mesh by,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.dx,dx,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.dy,dy,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.dz,dz,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.force symmetric x mesh,force symmetric x mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.force symmetric y mesh,force symmetric y mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.force symmetric z mesh,force symmetric z mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.grading factor,grading factor,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh allowed size increase factor,mesh allowed size increase factor,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh cells per wavelength,mesh cells per wavelength,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh cells x,mesh cells x,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh cells y,mesh cells y,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh cells z,mesh cells z,P1,7,required,인터페이스·메시 효율,False,implemented,implemented,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh distance between fixed points,mesh distance between fixed points,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh frequency max,mesh frequency max,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh frequency min,mesh frequency min,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh merge distance,mesh merge distance,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh minimum neighbor size,mesh minimum neighbor size,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh refinement,mesh refinement,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh size reduction factor,mesh size reduction factor,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh step for metals,mesh step for metals,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh type,mesh type,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh wavelength max,mesh wavelength max,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.mesh wavelength min,mesh wavelength min,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.meshing refinement,meshing refinement,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.meshing tolerance,meshing tolerance,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.min mesh step,min mesh step,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.override simulation bandwidth for mesh generation,override simulation bandwidth for mesh generation,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addfdtd.use mesh step for metals,use mesh step for metals,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.based on a structure,based on a structure,P1,7,required,인터페이스·메시 효율,True,partial,partial,partial,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.buffer,buffer,P1,7,required,인터페이스·메시 효율,True,partial,partial,partial,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.directly defined,directly defined,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.dx,dx,P1,7,required,인터페이스·메시 효율,True,partial,partial,partial,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.dy,dy,P1,7,required,인터페이스·메시 효율,True,partial,partial,partial,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.dz,dz,P1,7,required,인터페이스·메시 효율,True,partial,partial,partial,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.enabled,enabled,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.equivalent x index,equivalent x index,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.equivalent y index,equivalent y index,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.equivalent z index,equivalent z index,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.name,name,P1,7,required,인터페이스·메시 효율,True,partial,partial,implemented,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.override x mesh,override x mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.override y mesh,override y mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.override z mesh,override z mesh,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.set equivalent index,set equivalent index,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.set maximum mesh step,set maximum mesh step,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.set mesh multiplier,set mesh multiplier,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
addmesh.structure,structure,P1,7,required,인터페이스·메시 효율,True,missing,missing,missing,subpixel 및 독립 축 간격은 같은 오차에서 셀 수를 줄이는 수단이다. 수렴 증명이 먼저다.
